tag,label,unit,value,start_date,end_date,fiscal_year,fiscal_period,form,filed_date,accession_number
dei:EntityCommonStockSharesOutstanding,"Entity Common Stock, Shares Outstanding",shares,334724485,,2024-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Assets,,AUD,405958000,,2023-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Assets,,AUD,1516431000,,2024-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Equity,,AUD,2158000,,2021-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Equity,,AUD,80007000,,2022-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Equity,,AUD,148911000,,2023-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Equity,,AUD,568213000,,2024-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:ProfitLoss,,AUD,-104079000,2022-01-01,2022-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:ProfitLoss,,AUD,5211000,2023-01-01,2023-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:ProfitLoss,,AUD,49919000,2024-01-01,2024-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Revenue,,AUD,160096000,2022-01-01,2022-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Revenue,,AUD,502547000,2023-01-01,2023-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
ifrs-full:Revenue,,AUD,783207000,2024-01-01,2024-12-31,2024,FY,20-F,2025-02-24,0001140361-25-005562
